random_walk_length,pruned_path_length,redundancy
858,19,839
631,20,611
113,16,97
266,18,248
237,16,221
844,15,829
98,6,92
550,14,536
145,26,119
318,14,304
789,24,765
728,17,711
14,7,7
923,13,910
330,15,315
241,28,213
515,14,501
709,8,701
430,23,407
675,15,660
741,9,732
768,9,759
118,6,112
573,19,554
263,8,255
289,8,281
242,4,238
731,19,712
130,8,122
578,12,566
219,21,198
618,4,614
633,15,618
591,22,569
548,14,534
650,6,644
458,12,446
30,9,21
295,20,275
639,37,602
83,6,77
919,15,904
328,10,318
791,18,773
172,13,159
715,9,706
375,12,363
211,15,196
57,18,39
380,11,369
163,13,150
960,22,938
944,7,937
215,13,202
16,7,9
340,13,327
137,16,121
599,19,580
201,23,178
649,13,636
752,17,735
3,3,0
305,6,299
340,10,330
375,34,341
861,7,854
59,7,52
676,17,659
523,7,516
106,16,90
869,25,844
165,10,155
665,17,648
330,3,327
104,15,89
736,20,716
597,16,581
839,29,810
400,22,378
300,30,270
484,15,469
421,28,393
223,36,187
229,13,216
608,12,596
387,29,358
183,10,173
190,7,183
440,15,425
259,10,249
42,18,24
773,16,757
630,17,613
28,13,15
586,10,576
372,9,363
33,11,22
996,21,975
218,6,212
673,21,652
